document	label
자식 앞서 보낸것이 무슨 큰 벼슬이라고 저렇게 잘난체 하는지 모르겠다. 대통령이 벌써 다섯 번째 사과의 뜻을 거듭 밝혔고, 지금 상황에서 더 이상 무슨 사과를 할 수 있는지 모르겠다. 앞으로 실종자 모두 수습되면 그때가서 또 대통령이 대담형식으로 또 사과를 할 수 밖에 없다. 도대체 뭘 더 해달라는 건지 알 수가 없다. 지금 대통령이 세월호 침몰시켰나? 정부가 무능한 면이 없지 않다. 그러나 더 뭘 해달라는 건지 모르겠다. 국민 모두 곡기를 끊고 굶어야하나? 유가족들이 따져야 할 곳은 정부가 아니라 당신 가족을 해친 유병언 일가다.	0
알바새키들 졸라 달라붙었네	0
국어쌤 미쳤다	0
조재현 연기는 진짜 갑이었는데 ...	0
오렌지새기 딱조타	0
한국에선 재산 1억이하, 각종 시민연대 활동과 인권단체활동경력을 가진 프로 데모꾼들만이 하마평에 올라야 국민들이 좋아한다.	0
강호동 정글 가면 일단은 시청률 5프로이상은 올릴거같음ㅋ	0
2년간 감금당하며 시급 200원에 노예생활 하라는데 나같아도 뺄수있으면 빼지. 80년대90년대 인기연예인중에 제대로 군대 간사람 드물다.	0
네다음 세트로 꿀처빨아놓고 너무하다는 드립치는애	0
제대 후 송중기 빼고 잘 안되는구나..	0
출산율도 여혐단어다 ㄹㅇ	0
최강욱.친일새~~~끼~~~야.	1
뭐야 이 또라이는	1
선생보호 학생감염	0
니 애미애비 불쌍하다 이 벌레새끼야	1
나꼼좀비와 좌음, 좌이트 애들의 특징은 문재인이 대통령이 되면 무슨 삶이 확 달라질거라고 생각하는거다	0
사과도 여론조사 결과보고하는 대통령? 본인이 뭘잘못하는질 모르데 그런사람에게 뭘기대할수있나? 대한민국 언론자유가 전세계68위다! 당신이 유언비어를 운운할때인가? 개인들중엔 의견이 다양하고 잘못된 사람도 더러있지만 당신은 국정원 검찰 동원해서 여론조작하고 증거조작한거 아닌가? 사람이 염치좀 가지슈~	0
가만히 있다 일본이 하니 이제와서 별찌랄 다하네! 아휴 썩어빠진 대깨문들!	1
티아라란 걸그룹 아깝긴 하지...히트곡도 많고...애들도 예뻐서...왕따사건만 아녔어도 더 롱런 할 수 있었을 텐데...솔직히 소시 보다 훨 나았지...	0
우결이라고 생각하고 보셈~~ㅎ 우결이나 다시 부활 했으면 좋겠다 ~~어리고 예쁜 커플로다가	0
가격 먼저 맞춘사람 치킨쿠폰 쏜다	0
이런 스브럴	1
김용태는정말 잘떨어짐	0
통계학과	0
김정은이 이특 테이랑 동갑인게 ㄷ ㄷ ㄷ 이설주가 태욘 미영 수연 효연 이랑 동갑인게 ㄷ ㄷ ㄷ	0
무슨 코딱지 만한 이파트가 19억.... 비싸야 5억이면 적정금액... 다 이명박그네 추종자들이 만든 개거품	0
우리나라 언론 진짜 문제다.	0
엑소가 제자?? 겁나 부럽다...	0
저게 먼의미가있지?	0
국회 존속을위한 구획안은 직권 상장을해도,법적인문제로 노동법,경제 활성화법은 안된다는 국회의장국회의장은 도대체 무엇하는 사람인지?참한숨한국회를 그대로 보여주는 수장이다.대통령과 각을세운다?꿈에서 깨어 애국심으로 수장다운 용기를 보여주기바란다.지금 국회는 유명무실하며,오히려 선진화법에 숨서서 법 운운하지말고 모든 경제법안을직권상장ㅎ	0
일부러 엉망인 곳 찾아서 섭외 하는구만	1
후스거너풀더트리거 ㅋㅋ	0
에휴.........그냥 노답...해외여행이나 가세요	1
솔직히 되게 안어울리는 커플이다 오래못갈듯	1
건동홍에서 9급한다고하면 학벌 아깝지??? ??	0
ㅋㅋ 개인의 능력과 창의성을 보고 인재를 뽑는다는게 어떤건지 설명좀. 꼴통새끼들은 맨날 대안이 없으면 지껄이지 말라는 식으로 말하는데 정작 지들은 대안없이 지껄임ㅋㅋㅋ 아주 지들 마음대로야	1
종북세력은 북한가서 살고, 친일세력은 일본가서 살아라 제발. 대한민국에 발들여 놓을 생각도 하지말고	0
경상도가 쎄긴 쎄구나 ~ ........................................................................ 전라도 였으면 , 퍼줬다 !	0
남의 딸 사문서 위조해주고 뺏지달고 검찰을 치겠다?ㅋㅋ 국민들이 만만하지?	0
경기도 작가들의 미술시장 진입을 도울 계획이다.	0
이러니까 급 있는 기자들까지 기레기라 욕먹는다.. 기자들 급 떨어트리지 말고 국어공부부터 하세요 ㅎㅎ	1
그냥 얼굴보고 반해서 빠순이짓 해놓구선 왤케 포장해 ㅋㅋㅋ	1
관피아이니 머니 하믄서 대통령이 그걸 척결해주길 희망한다고 하는데...사실 그 관피아에 놀아난게 대통령입니다. 힘있는 안행부 고위행정직 관료들이 재난을 사회재난 자연재난 쪼개서 지들끼리 자리 나눠먹는데 썼습니다. 대통령은 그런 관피아의 잘못을 간파하지 못하고 휘둘린 거죠. 대통령이 정책을 판단하고 가릴 능력이 없는 겁니다.	0
어차피 도울 수 있는 방법도 없을 듯한데요	0
거짓과기만의 인권팔이가 민중에 의해 끌려내려오게 된다는 뜻인듯요즘 역전앞에 태극기부대들이 문재앙틴핵 서명받던데 이미 일이 시작되고있는지도 모른다	0
조만간 대마새끼랑 같이 공익생활할듯ㅋㅋㅋㅋ	1
박사모 회원들 ㅈ댓글 공작한다 ㅋㅋ일베 = 박사모 = 바퀴벌레 ㅋ	1
아 우리가 존나 병신이구나	1
정직하게는 절대 벌수 없는 돈이다. 미통당이 민주당 공격하라고 뇌물받아 줬다면 모를까..	0
참나. 광고를 그렇게 하더니 꼴 좋다. 누구 나오니 이런소리하더니 ㅋㅋㅋㅋㅋ설치지말던가	1
드라마가 사실성이 떨어지네요. 극 중 김서형은 부유층에 속하는데 요즘 부유층 자녀 중에 저렇게 뚱뚱한 사람은 없습니다.	1
무조건 정부 깐다는 건 무슨 또라인데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 지금 무조건 정부까는 걸로 보이냐? 정부의 재난관리체계 미흡, 계속해서 바뀌는 정부의 발표, 정부보다 나은 성과를 민간이 내면 안된다는 걸로 보이는 행태들 시발 이게 말이 되냐?	0
근데 북괴가 나라임? 내생각에는 대한민국땅 불법 점거한 깡패 집단 같은데? 박정희 대통령님이 깡패라기 보단 김일성이나 김정일 김정은이가 더 깡패같던데 북한주민 굶겨죽이고 쌀달라고 협박질이나하고	1
좃선이 보수 언론이냐???????? 기레기 집단이지. 그저 제3의 권력을 유지하기 위해 찌라시 뿌리는. 옛날부터 해왔던 추악한 짓을 계속하는거지.	1
걸그룹 생명은 끝났고 이제 애낳는거로~~?이제 젖타령까지~~가지가지한다	1
진교수가 참...불쌍해보이네요꼴에 전직교수라고 열등감에 쩔어 친구고 몸담았던당에 헛소리만 생산하는 관종이되어가네정말 찌질해보인다	1
두번째로빡친새끼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 	1
Minsung Kim	0
세계 최강국미국과 eu어느나라에서도 외국인을 장관으로 들인사례는 못들어봤다.	0
거 좀 미리 알려주던가 아침에 투표하고 왔는데 이게 무슨 날벼락같은 소리야??!! 내 소중한표가 사표가 될 수 있다니 장난하냐!!!	0
나 04년생 아재인데 인생 망한거 같다,,,	0
그래도 사진보니깐 반성을 많이 하시는거같아서 보기좋아요	0
테슬라는 조립품질가지고 이야기 하는게 아니라 거기에 탑재된 자율주행 기술에 역점을 둬야함.. 	0
정치인들이나 재벌들이 협조했으면 이런 상황까지 안왔을 것이다. 무신경한 책임자들이다. 대통령이 어머니같은 마음으로 국민을 보살피겠다는 거짓공약, 처음부터 거짓인 줄 알고 믿지 않았다. 대통령이 진짜 어머니였으면 이렇게 무신경했을까?	0
김정란인지 무정란인지 당나라 잡종이 새치기로 씨뿌렸는지 주둥아리 시궁창 냄새가 진동하네	1
ㅂㅈ들 박힐때 신음소리.ㅗㅜㅑ	1
야리둡 데뷔초 같농 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 	0
조민기 안테 피해당했다는데 실체는 없구만..피해자가 직접나서서 고소한것도 아니고 온통 찌라시만 가득.. 저렇게 외도 했다고 하는데 아내가 저럴정도로 애정했을까? 라는 의문투성이.	0
이제 북한은 벼랑끝 만약에 다시한번 우리나라를 도발한다면 초전박살을 내야한다	0
ㅉ ㅉ 정신이 건강하지가 않아 보인다~~신천지에 빠져서 쥐랄하는 니가 개돼지~~	1
비구름이 모두 물러나면서 오늘 전국 하늘에는 가끔 구름만 많겠습니다.	0
몰락한 유재석씨ㅠ 시청자 투표로 뽑는 올해의예능상에서도 나가리 됐으면 볼장 다본거잖아요ㅠ 이제 인정좀 합시다ㅠ제발좀ㅠ	1
20대 보수 은근 많나요?	0
로지보리	1
네이버에는 아직까지 일베놈들이 많은가보다...	0
짱깨는 더 이상 믿을 수 없는 족속이 되었다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
나봉쓰 어디갔어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0
야이미친련들아 나이 30쳐먹고 치마입을지 바지입을지도 구분못하는 모지리년들이라는거냐	1
절차대로 당원들 그렇게 좋아하는 북송 해줍시다 이제 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0
청와대 대변인이 청와대에서 기자회견 하면서 한 말이 '사적인 견해'냐? 그냥 이것도 '개인적 일탈'이라고 하지 그랬냐.	0
세금먹는개돼지들다들가는데안내견못들어가는건말이안되지	1
진중권씨 국민은당신이조용히살길바랍니다. 세치혀가너무감정에놀아나지않기를.	0
국회의원 만 퇴출시킬것이 아니라 검은돈을 쫓는 변호사들과 짝짝궁하는 판검사들 자질이 부족한 판검사들 만명에게만 평등한 법을 집행하는 판검사들도 퇴출 시키는 법을 만들던지 이것도 저것도 아니면 AI가 정덥이네요.. 이런 판사는 재판에 참여할 수 없게 하고 행정적인 일만 하게 이번에 법령을 만들어서 억울한 국민이 없게.... 이번에 여의도에 입성한 젊은 의원들이 뭔가를 보여주세요.	0
부모님 , 조부모님 세대들이 우리나라를 이렇게 발전시켰는데 !!! 만일 전쟁 발발하게 되면 니들 절대 용서하지 않을 것이다. 피도 눈물도 없이 처참하게 밟아버릴 것이다 ㅡㅡ	0
